id,place_name,locationpreferencess,locationpreferencess_other,more_info,lat,long,x_itm,y_itm,created_on,ip_address,center_point,neighborhood_id
1,ככה ,['3'],,,31.778048195277048,35.18787860870362,,,2024-06-03 21:13:57.395362,127.0.0.1,0101000020E6100000010000680C9841403F6DA12A2EC73F40,15
2,בב ,['3'],,,31.763819082311528,35.23182392120362,,,2024-06-03 21:14:09.557792,127.0.0.1,0101000020E610000001000068AC9D4140B896BAA589C33F40,6
3,מגרש ,['4'],,,31.765882190037797,35.18873838397651,,,2024-06-09 06:38:23.920432,127.0.0.1,0101000020E6100000EA565194289841401BCDEEDA10C43F40,16
4,כאן ,['8'],,,31.778111985487968,35.18943720209353,,,2024-06-09 06:38:57.318594,127.0.0.1,0101000020E610000098D16D7A3F984140E44BDA5832C73F40,15
5,nhp ,['1'],,,31.93104500946707,35.20137223134994,,,2024-06-17 15:48:49.419489,127.0.0.1,0101000020E61000003BFCB590C6994140DCC33AF758EE3F40,
6,יעכעיכ ,['1'],,,31.781247164018204,35.22042989730836,,,2024-06-18 08:06:13.852252,127.0.0.1,0101000020E61000000100000C379C41400A8D6BD0FFC73F40,67
7,יופי ,[],,,33.03197382563324,37.23529563978783,,,2024-06-18 21:33:09.155164,127.0.0.1,0101000020E6100000DBE3E22A1E9E42401DB6E3B717844040,
8,גן ילדים ,['1'],,,31.768743854623388,35.211794959594016,,,2024-06-18 21:54:50.464614,127.0.0.1,0101000020E6100000FC74E4181C9B4140C29BB265CCC43F40,92
9,שוק מחנה יהודה ,['1'],,,31.767545795762867,35.21848346218999,,,2024-06-18 21:55:09.259706,127.0.0.1,0101000020E610000053691E44F79B4140DBFB9AE17DC43F40,
10,גן ילדים ,['1'],,,31.786871147296832,35.19717144495712,,,2024-06-18 22:03:10.121726,188.64.206.70,0101000020E6100000E0E5F5E93C9941404FCE336370C93F40,91
11,כע ,['9'],,,31.600573515635897,35.18217086791993,,,2024-06-18 22:12:23.356545,188.64.206.171,0101000020E61000000100006051974140FB7F982FBF993F40,
12,אלפסי 36 ,"['1', '4', '7']",,הרחוב הכי יפה בירושלים,31.772485827781605,35.21085632477802,,,2024-06-19 14:55:25.619746,176.12.189.224,0101000020E6100000C6890D57FD9A41400BF296A1C1C53F40,96
13,בדיקת מעבר ,['2'],,,31.831117830553556,35.18508911132813,,,2024-06-21 22:13:11.566652,127.0.0.1,0101000020E610000001000000B197414099595D23C4D43F40,
14,קרית משה ,['3'],,גן ציבורי,31.7687836339903,35.21148852067278,,,2024-06-22 13:23:51.744225,188.64.206.231,0101000020E61000006FE24B0E129B414039B01501CFC43F40,92
15,קרית יובל ,"['3', '4']",,,31.76272,35.174674,,,2024-06-22 15:30:54.944519,188.64.206.231,0101000020E610000013BBB6B75B9641405001309E41C33F40,92
16,המפלצת ,['1'],,,31.7614024,35.1717332,,,2024-06-22 23:00:00.716354,46.117.233.84,0101000020E610000097D17E5AFB9541408E188744EBC23F40,87
17,מגרש אימונים בית וגן ,[],,,31.768379,35.184947,,,2024-06-23 21:30:23.457428,127.0.0.1,0101000020E6100000253FE257AC974140E5EE737CB4C43F40,16
18,סמטת היין 1 ,[],,,31.7671415,35.1662545,,,2024-06-24 11:19:09.902849,87.71.153.215,0101000020E61000000B28D4D34795414086E7A56263C43F40,76
19,דרך היין 1 ,['2'],,,31.7671415,35.1662545,,,2024-06-24 11:40:07.287138,87.71.153.215,0101000020E61000000B28D4D34795414086E7A56263C43F40,15
20,משרד ראש הממשלה ,['1'],,,31.780968718888477,35.20546759523432,,,2024-06-25 02:12:32.763047,87.71.153.215,0101000020E6100000A7F51CC34C9A414035D3E290EDC73F40,88
21,הסית של ,"['1', '7', '9']",,,31.76733296208023,35.17629867797863,,,2024-06-25 02:14:34.475670,87.71.153.215,0101000020E6100000851F80F4909641400347D9EE6FC43F40,87
22,המפלצת ,"['5', '9']",,,31.7614024,35.1717332,,,2024-06-25 10:17:30.964668,87.71.153.215,0101000020E610000097D17E5AFB9541408E188744EBC23F40,15
23,שוק ,"['2', '8', '9']",,,31.783964946453235,35.19903659820557,,,2024-06-25 13:21:21.638537,87.71.153.215,0101000020E6100000010000087A9941401F3A3EEDB1C83F40,91
24,המפלצת ,['1'],,,31.7614024,35.1717332,,,2024-06-25 15:29:11.098513,46.117.233.84,0101000020E610000097D17E5AFB9541408E188744EBC23F40,87
25,המפלצת ,['7'],,,31.7614024,35.1717332,,,2024-06-26 13:21:20.518904,207.232.14.60,0101000020E610000097D17E5AFB9541408E188744EBC23F40,87
26,המפלצת ,['2'],,,31.7614024,35.1717332,,,2024-06-30 12:18:25.412249,93.173.62.69,0101000020E610000097D17E5AFB9541408E188744EBC23F40,87
27,המפלצת ,['4'],,,31.7614024,35.1717332,,,2024-06-30 18:37:00.465303,85.130.254.166,0101000020E610000097D17E5AFB9541408E188744EBC23F40,87
28,יהודה 14 ,['3'],,שכונת בקעה,31.7571057,35.2200504,,,2024-07-01 20:48:20.994870,109.81.165.78,0101000020E610000061BC8B9C2A9C41407D1DDDADD1C13F40,20
